Start Date,End Date,Time,Location,Target,Weapons,Reported_Minimum,Reported_Maximum
30-Jul-13,30-Jul-13,,"Al-Tshash, northeast of Kut",police,gunfire,2,2
30-Jul-13,30-Jul-13,,south of Baghdad,police at checkpoint,gunfire,3,3
30-Jul-13,30-Jul-13,,northwest Mosul,"army patrol, civilian killed",roadside bomb,1,1
30-Jul-13,30-Jul-13,,north Fallujah,shop owner,assault rifles,1,1
30-Jul-13,30-Jul-13,,"Jolan, central Fallujah",shop owner,gunfire,1,1
30-Jul-13,30-Jul-13,,Mosul,bodies of unidentified men found,"gunfire, executed",2,2
30-Jul-13,30-Jul-13,,Mishahda,"police patrol, police killed",bomb,2,2
30-Jul-13,30-Jul-13,,"Turath, Baghdad",civilians in busy street,three bombs,3,3
30-Jul-13,30-Jul-13,PM,"Al-Jihad, southwest Baghdad",Sunni mosque,one or two roadside bombs,3,3
30-Jul-13,30-Jul-13,PM,"Furat, southwest Baghdad",civilians in food shop,bomb,1,1
29-Jul-13,30-Jul-13,,"Al-Hafriyah or Damok, Kut",police at checkpoint,drive-by shooting,3,3
30-Jul-13,30-Jul-13,,"Al-Jazeera, Salaheddine",police during raid of militants' hideout,,0,2
30-Jul-13,30-Jul-13,12.00 pm,east Mosul,policeman in front of his home,gunfire,1,1
30-Jul-13,30-Jul-13,PM,"Al-Wahda, east Mosul",civilians near petrol station,drive-by shooting,2,2
30-Jul-13,30-Jul-13,PM,"Euphrates neighbourhood, Baghdad","police patrol, policeman killed",roadside bomb,1,1
30-Jul-13,30-Jul-13,PM,"Siyd Mahdi Mosque, Tuz Khurmatu","Shiite mosque either during or immediately after evening prayers, worshippers killed",bomb,2,4
30-Jul-13,30-Jul-13,PM,"Tarmiya, Baghdad","civilians in clinic, including women and children",car bomb,11,11
30-Jul-13,30-Jul-13,PM,"Tarmiya, north of Baghdad","police patrol, police killed",roadside bomb,2,2
29-Jul-13,30-Jul-13,,Kut,civilian brothers,drive-by shooting,0,2
30-Jul-13,30-Jul-13,,south of Baghdad,"Capt. Ahmed Kadhim, member of the oil police, on a highway",gunfire,1,1
30-Jul-13,30-Jul-13,PM,"Mualimeen, Baquba",cafe; young men and children among those killed,bomb,4,8
30-Jul-13,30-Jul-13,PM,"Nabi Scheet, central Mosul",police at checkpoint,drive-by shooting,2,2
30-Jul-13,30-Jul-13,,"the main gate of the Presidential Palace, central Tikrit",the Presidental Palace in Tikrit,suicide car bomb,7,7
30-Jul-13,30-Jul-13,AM,"Kirkuk, including on the Kirkuk-Sulaymaniya Road",policeman and possibly a civilian,two magnetic bombs,1,2
29-Jul-13,29-Jul-13,,Tikrit,army officer's house,bomb,1,1
29-Jul-13,29-Jul-13,,"Al-Jihad, east of Muqdadiyah",male civilian,drive-by shooting,1,1
29-Jul-13,29-Jul-13,,east of Baghdad,employee at the Ministry of Electricity,drive-by shooting,1,1
